X,Y,osm_id,highway,name,oneway,junction,surface,layer,tunnel,covered,service,bicycle,access,foot,name:hi,old_name,motorroad,incline,level,conveying,lanes,footway
77.21873655,28.63407175,692059282,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2192949,28.6331388,660372923,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21933805,28.63317105,660372926,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21938305,28.6331889,660372870,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21929795,28.633234,660372905,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2191809,28.6333471,164675818,footway,,,,,,,,,,,,,,,,0,,,
77.2192200662998,28.6333722215514,582355774,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21925495,28.63338025,660372907,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21938475,28.6334253,164675819,footway,,,,,,,,,,,,,,,,0,,,
77.21881225,28.63378825,164683612,steps,,,,,-1,yes,,,,,,,,,up,"0;-1",,,
77.2191833,28.633511,660372911,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21912865,28.6336232,660372909,steps,,,,,-2,,,,,,,,,,up,-1,,,
77.21914085,28.63365435,80499787,footway,,,,,,,,,,,,,,,,0,,,
77.21948215,28.6331568,660372921,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2194684504751,28.6332583495167,660097256,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2195188,28.6332622,660372902,steps,,,,,,,,,,,,,,,up,"-1;-2",yes,3,
77.2197383518849,28.6332583733419,164675810,footway,,,,,,,,,,,,,,,,0,,,
77.21956225,28.63340375,660372874,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2196213806637,28.6334528333544,660372876,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2199352,28.63312345,660372894,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2200626,28.63315935,660372896,steps,,,,,-2,,,,,,,,,,up,-1,,,
77.22013425,28.6331808,660372898,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2201800757929,28.633382736054,80499765,footway,,,,,,,,,,,,,,,,0,,,
77.2196109,28.63356885,660372872,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2196274,28.6336305,660372885,steps,,,,,,,,,,,,,,,down,"-1;-2",yes,3,
77.2190566178131,28.6337749622675,582355769,footway,,,,,-2,yes,,,,,,,,,,-1,,,
77.21897575,28.6338481,125439724,service,,,,,,,,parking_aisle,,,,,,,,,,,
77.2188554375132,28.633899692553,125442273,service,,,,,,,,parking_aisle,,,,,,,,,,,
77.21907735,28.6339351,164683610,footway,,,,,-2,yes,,,,,,,,,,-1,,,
77.219124,28.6339174,125439714,service,,,,,,,,,,,,,,,,,,,
77.2194023,28.63396055,164683608,footway,,,,,,,,,,,,,,,,,,,
77.21924875,28.6339928,164683604,steps,,,,,-1,yes,,,,,,,,,up,"0;-1",,,
77.2188945380365,28.6341788945513,691982451,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2190821093016,28.6342369998768,692059280,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2192763886529,28.6342684473423,692059281,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2202337612912,28.6340483963743,164683611,service,,,,,,,,parking_aisle,,,,,,,,,,,
77.2195876648807,28.6344235702303,692059279,footway,,,,,,,colonnade,,,,,,,,,,,,
77.21837835,28.63511195,437256650,service,,,,,,building_passage,,alley,yes,no,yes,,,,,,,,
77.21850555,28.63487655,437256651,service,,,,,,,,alley,,,,,,,,,,,
77.21827945,28.6352553,437256649,service,,,,,,,,alley,,,,,,,,,,,
77.2195550594063,28.634715221393,691982452,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2198145008079,28.6345168642812,24577486,tertiary,Radial Road 4,yes,,asphalt,,,,,,,,,,,,,,,
77.220810250256,28.6333331700068,582355770,footway,,,,,-2,yes,,,,,,,,,,-1,,,
77.2205662926375,28.6335132926375,720546575,footway,,,,,,,,,,,,,,,,,,,
77.2205619676029,28.6335455309179,720546574,footway,,,,,,,,,,,,,,,,,,,sidewalk
77.22068945,28.63360585,164675823,footway,,,,,,,,,,,,,,,,,,,crossing
77.220823,28.6335655,164675824,steps,,,,,-1,yes,,,,,,,,,up,"0;-1",,,
77.22065575,28.63370105,720546572,service,,,,,,,,parking_aisle,,,,,,,,,,,
77.2208633087038,28.633651189757,720735033,service,,,,,,,,parking_aisle,,,,,,,,,,,
77.2210619,28.63313235,164683606,steps,,,,,-1,yes,,,,,,,,,up,"0;-1",,,
77.2210046305902,28.6333130175521,164683607,footway,,,,,-2,yes,,,,,,,,,,-1,,,
77.2208948606738,28.6337277568064,720735032,footway,,,,,,,,,,,,,,,,,,,
77.221014858641,28.6337533407271,720735031,footway,,,,,,,colonnade,,,,,,,,,,,,
77.22097045,28.6337774,720735034,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2213212,28.63356845,24577483,tertiary,Radial Road 6,yes,,asphalt,,,,,,,,,,,,,,,
77.2229317558426,28.6332887231614,572511732,secondary,Outer Circle,yes,roundabout,asphalt,,,,,,,,,,,,,,,
77.2206982499344,28.6341610999101,174274680,tertiary,Radial Road 5,yes,,asphalt,,,,,,,,,,,,,,,
77.22151935,28.63523185,596349216,secondary,Outer Circle,yes,roundabout,asphalt,,,,,,,,,,,,,,,
77.2239849,28.63856335,28103794,secondary,Vivekanand Marg,yes,,,,,,,,,,विवेकानंद मार्ग,Minto Road,,,,,,
